code_region;code_departement;id_commune;nom_commune
32;02;02155;CHAILLEVOIS
32;02;02156;CHALANDRY
32;02;02157;CHAMBRY
32;02;02158;CHAMOUILLE
32;02;02159;CHAMPS
32;02;02160;CHAOURSE
32;02;02161;LA CHAPELLE MONTHODON
32;02;02162;LA CHAPELLE SUR CHEZY
32;02;02163;CHARLY
32;02;02164;LE CHARMEL
32;02;02165;CHARMES
32;02;02166;CHARTEVES
32;02;02167;CHASSEMY
32;02;02168;CHATEAU THIERRY
32;02;02169;CHATILLON LES SONS
32;02;02170;CHATILLON SUR OISE
32;02;02171;CHAUDARDES
32;02;02172;CHAUDUN
32;02;02173;CHAUNY
32;02;02174;CHAVIGNON
32;02;02175;CHAVIGNY
32;02;02176;CHAVONNE
32;02;02177;CHERET
32;02;02178;CHERMIZY AILLES
32;02;02179;CHERY CHARTREUVE
32;02;02180;CHERY LES POUILLY
32;02;02181;CHERY LES ROZOY
32;02;02182;CHEVENNES
32;02;02183;CHEVREGNY
32;02;02184;CHEVRESIS MONCEAU
32;02;02185;CHEZY EN ORXOIS
32;02;02186;CHEZY SUR MARNE
32;02;02187;CHIERRY
32;02;02188;CHIGNY
32;02;02189;CHIVRES EN LAONNOIS
32;02;02190;CHIVRES VAL
32;02;02191;CHIVY LES ETOUVELLES
32;02;02192;CHOUY
32;02;02193;CIERGES
32;02;02194;CILLY
32;02;02195;CIRY SALSOGNE
32;02;02196;CLACY ET THIERRET
32;02;02197;CLAIRFONTAINE
32;02;02198;CLAMECY
32;02;02199;CLASTRES
32;02;02200;CLERMONT LES FERMES
32;02;02201;COEUVRES ET VALSERY
32;02;02202;COHAN
32;02;02203;COINCY
32;02;02204;COINGT
32;02;02205;COLLIGIS CRANDELAIN
32;02;02206;COLONFAY
32;02;02207;COMMENCHON
32;02;02208;CONCEVREUX
32;02;02209;CONDE EN BRIE
32;02;02210;CONDE SUR AISNE
32;02;02211;CONDE SUR SUIPPE
32;02;02212;CONDREN
32;02;02213;CONNIGIS
32;02;02214;CONTESCOURT
32;02;02215;CORBENY
32;02;02216;CORCY
32;02;02217;COUCY LE CHATEAU AUFFRIQUE
32;02;02218;COUCY LES EPPES
32;02;02219;COUCY LA VILLE
32;02;02220;COULONGES COHAN
32;02;02221;COUPRU
32;02;02222;COURBES
32;02;02223;COURBOIN
32;02;02224;COURCELLES SUR VESLES
32;02;02225;COURCHAMPS
32;02;02226;COURMELLES
32;02;02227;COURMONT
32;02;02228;COURTEMONT VARENNES
32;02;02229;COURTRIZY ET FUSSIGNY
32;02;02230;COUVRELLES
